age,gender,dress,wind_speed,BMI,height,RH,in_car_temperature,PMV,PPD,M,need_temperature,The_wind_type,wind_scale,direction
少年,女,春秋装,低风,34.8,1.74,67.1,16.8,-2.86,98.3,1.079931764,25,暖气,中风,上
老年,男,夏装,中风,27.7,1.75,20.6,47.7,11.8,100,1.079298444,18.5,冷气,大风,中
老年,男,夏装,无风,17.4,1.71,45.9,35.7,3.75,100,0.974349668,19.5,冷气,大风,中
中年,女,夏装,低风,25,1.72,60.6,26.4,-0.61,12.8,0.981172623,无,无,无,无
少年,女,夏装,低风,33.4,1.51,14.5,48.8,10.24,100,1.130520965,18.5,冷气,大风,中
少年,女,春秋装,大风,25.3,1.57,53.7,18,-3.42,99.9,1.124261917,21.5,暖气,大风,中
老年,女,冬装,无风,17.5,1.5,68.3,0.3,-5.23,100,0.960395735,24.5,暖气,大风,中
青年,女,冬装,中风,23.3,1.67,76.4,1.4,-5.93,100,1.053682212,24.5,暖气,大风,中
中年,女,冬装,中风,20.9,1.62,84.3,10.1,-4.81,100,0.990006093,22.5,暖气,大风,中
童年,男,冬装,大风,16.9,1.64,61.9,9.9,-3.22,99.7,1.246084783,23.5,暖气,大风,中
童年,男,春秋装,低风,16.9,1.52,76.3,17.4,-2.06,79.6,1.252256507,24,暖气,低风,下
少年,男,冬装,中风,15.7,1.7,54.1,0.1,-5.4,100,1.208195844,24.5,暖气,大风,中
青年,男,春秋装,大风,16.5,1.8,62.9,21,-2.63,95.7,1.140986471,21.5,暖气,中风,上
青年,女,冬装,低风,16.3,1.75,67.2,13.4,-2.96,98.9,1.03702702,24.5,暖气,中风,上
中年,女,冬装,中风,16.6,1.58,74.4,9.4,-4.13,100,0.991733692,23.5,暖气,大风,中
中年,男,春秋装,中风,24.4,1.8,49,16.8,-3.54,100,1.109654292,21.5,暖气,大风,中
青年,男,春秋装,无风,26.2,1.79,46.7,20.6,-1.04,27.7,1.206846279,无,无,无,无
青年,女,春秋装,大风,17.4,1.55,65.6,15.3,-4.63,100,1.082677452,21.5,暖气,大风,中
少年,男,冬装,低风,16.1,1.85,42,4.2,-3.9,100,1.210183037,25,暖气,大风,中
青年,男,春秋装,无风,15.5,1.76,68,17,-1.81,67.4,1.130178801,23.5,暖气,低风,下
童年,女,夏装,中风,31.3,1.62,51.2,27.8,-0.17,5.6,1.121389128,无,无,无,无
老年,男,冬装,大风,24.6,1.62,62.6,14.8,-3.47,99.9,1.027566374,22.5,暖气,大风,中
青年,女,夏装,无风,25.2,1.54,50.5,23.3,-0.89,21.6,1.080996922,无,无,无,无
童年,女,春秋装,中风,30.8,1.61,66.6,18.8,-3.16,99.6,1.124356393,21.5,暖气,大风,中
中年,男,冬装,无风,17.9,1.82,66.3,6,-3.29,99.8,1.055469032,23,暖气,大风,中
童年,女,春秋装,无风,28,1.56,65.4,16.3,-1.98,76,1.140946866,23.5,暖气,低风,下
中年,女,冬装,中风,18.1,1.69,60.6,1.4,-6.6,100,0.975306176,24.5,暖气,大风,中
少年,女,夏装,中风,15.1,1.67,30.8,37.4,4.94,100,1.110137314,19.5,冷气,大风,中
少年,男,春秋装,大风,34,1.69,51.7,20.7,-2.28,87.5,1.296124214,21.5,暖气,低风,下
中年,男,冬装,大风,26.8,1.69,59.1,5.8,-4.84,100,1.111467385,23.5,暖气,大风,中
少年,男,冬装,大风,27.3,1.77,73.2,10,-3.85,100,1.27115429,22.5,暖气,大风,中
少年,女,冬装,中风,31.4,1.62,51,4.8,-4.81,100,1.105781263,24.5,暖气,大风,中
青年,男,夏装,大风,17,1.85,28.9,43.5,9.54,100,1.148012659,18.5,冷气,大风,中
老年,男,夏装,中风,33.2,1.63,42,34.2,3.01,99.1,1.095098485,20.5,冷气,大风,中
青年,女,夏装,低风,26.7,1.7,52,34.9,3.54,100,1.048258553,20.5,冷气,大风,中
老年,女,冬装,中风,22.7,1.52,59,9.9,-4.27,100,0.965776616,23.5,暖气,大风,中
中年,女,春秋装,无风,24.1,1.55,52.1,15.4,-2.7,96.7,1.004700331,24,暖气,中风,上
青年,男,春秋装,无风,18.1,1.63,73.2,17,-1.75,64.6,1.143625012,23.5,暖气,低风,下
青年,男,冬装,无风,33.7,1.75,61.1,5.8,-2.79,97.7,1.241414168,22.5,暖气,中风,上
少年,女,冬装,低风,20.8,1.7,58,3.8,-4.45,100,1.096610929,25,暖气,大风,中
少年,男,春秋装,中风,16.2,1.62,53.2,21.8,-1.76,64.8,1.212701449,21.5,暖气,低风,下
童年,女,春秋装,大风,28.3,1.64,60.1,20.7,-2.85,98.2,1.119929251,21.5,暖气,中风,上
中年,女,冬装,中风,16.4,1.7,40,0.1,-7.05,100,0.97094281,24.5,暖气,大风,中
老年,男,夏装,低风,19.1,1.76,19.1,48,10.82,100,1.003286611,18.5,冷气,大风,中
青年,男,夏装,大风,15.1,1.72,55.1,22.9,-3.09,99.4,1.124409706,21.5,暖气,大风,中
老年,男,夏装,中风,21.5,1.67,37.8,33.8,2.7,96.7,1.009555328,20.5,冷气,中风,上
少年,男,夏装,中风,30,1.83,21.6,45.4,9.08,100,1.283161677,18.5,冷气,大风,中
青年,男,夏装,低风,19.9,1.62,44.4,31.8,1.73,63.6,1.156215811,20.5,通风,低风,下
少年,男,春秋装,无风,28,1.76,68.4,17.4,-1.42,46.6,1.274049698,无,无,无,无
老年,女,冬装,中风,22,1.69,73.8,5.2,-5.85,100,0.943248392,23.5,暖气,大风,中
少年,男,春秋装,低风,20.9,1.67,52.7,15.9,-2.64,95.9,1.239810858,25,暖气,中风,上
少年,女,春秋装,中风,17.5,1.62,56.8,18.1,-2.98,99,1.120772703,21.5,暖气,中风,上
中年,男,冬装,大风,16.3,1.71,66.9,14.2,-3.68,100,1.022645841,22.5,暖气,大风,中
青年,男,春秋装,中风,19.4,1.75,75.1,18.7,-3.01,99.1,1.160676046,21.5,暖气,大风,中
少年,男,夏装,低风,33.3,1.77,50.9,33.6,2.71,96.8,1.294672121,20.5,冷气,中风,上
童年,男,夏装,大风,17.2,1.57,22.7,48.9,12.51,100,1.251013228,18.5,冷气,大风,中
老年,男,冬装,中风,22.6,1.78,71.3,0.5,-6.25,100,1.041895036,24.5,暖气,大风,中
中年,男,春秋装,大风,17.9,1.77,48.9,17,-4.21,100,1.048311307,21.5,暖气,大风,中
老年,女,春秋装,低风,16.2,1.63,60.9,21.4,-2.36,90,0.937597635,21.5,暖气,低风,下
青年,男,冬装,无风,31.5,1.81,62.9,0.4,-3.79,100,1.235299999,23.5,暖气,大风,中
童年,男,冬装,低风,22.2,1.62,63.4,7.3,-2.99,99.1,1.273699339,23.5,暖气,中风,上
青年,男,春秋装,无风,17,1.68,69.9,18,-1.51,51.4,1.138040229,23.5,暖气,低风,下
老年,女,春秋装,低风,15.3,1.66,57.6,19.2,-3.36,99.9,0.931206519,21.5,暖气,大风,中
童年,男,冬装,无风,24.3,1.51,71,7.2,-2.4,91.1,1.286950435,22,暖气,低风,下
童年,女,夏装,大风,18.3,1.51,38.4,30.6,0.46,9.4,1.174279766,无,无,无,无
青年,女,冬装,无风,34.3,1.61,64.6,5,-3.47,99.9,1.063738334,23,暖气,大风,中
老年,女,夏装,大风,30.7,1.63,41.9,32.2,1.3,40.2,0.964333317,20.5,通风,低风,下
青年,女,夏装,无风,19.4,1.73,27.1,42.4,6.39,100,1.041769627,18.5,冷气,大风,中
青年,男,夏装,中风,33.1,1.79,44.3,26.7,-0.5,10.2,1.241323422,无,无,无,无
老年,男,春秋装,低风,31.1,1.64,71.9,18.3,-2.32,88.9,1.08287575,24.5,暖气,低风,下
童年,女,春秋装,中风,26.6,1.62,89.7,19.1,-2.91,98.6,1.126923972,21.5,暖气,中风,上
童年,男,冬装,中风,34,1.63,57.4,13.5,-2.52,93.9,1.317335271,22.5,暖气,中风,上
老年,男,夏装,低风,23.4,1.62,33,25.1,-1.31,40.8,1.016769591,无,无,无,无
青年,女,夏装,低风,33,1.6,43,32.8,2.22,85.8,1.065815344,20.5,冷气,低风,下
青年,男,夏装,低风,29.2,1.74,48.6,32.7,2.25,86.7,1.219657094,20.5,冷气,低风,下
少年,女,夏装,低风,25.2,1.53,12,46.2,8.76,100,1.135437584,18.5,冷气,大风,中
少年,男,夏装,中风,18.6,1.83,32.1,36.6,4.27,100,1.226532793,19.5,冷气,大风,中
青年,男,夏装,低风,18.4,1.67,59.3,25.7,-0.51,10.4,1.148348028,无,无,无,无
少年,男,冬装,大风,26.9,1.74,64.4,8.2,-3.54,100,1.269133836,23.5,暖气,大风,中
老年,女,冬装,中风,18.3,1.51,54.6,13,-4.24,100,0.960127078,22.5,暖气,大风,中
中年,女,冬装,大风,17.9,1.58,59.3,12.2,-4.55,100,0.993295084,22.5,暖气,大风,中
中年,女,春秋装,低风,19.4,1.53,58.9,20.9,-2.12,81.9,1.004236229,26.5,暖气,低风,下
老年,男,春秋装,低风,16.2,1.76,68,15.2,-4.02,100,0.970303255,26,暖气,大风,中
少年,女,冬装,低风,18.1,1.71,52.5,3.8,-4.46,100,1.096636015,25.5,暖气,大风,中
童年,女,冬装,大风,20.5,1.64,75,1.4,-5.87,100,1.130049,24.5,暖气,大风,中
童年,女,冬装,大风,25.1,1.57,77.5,5.8,-4.65,100,1.142487154,23.5,暖气,大风,中
中年,女,夏装,中风,26.4,1.59,35.1,41.5,8.28,100,1.00029506,18.5,冷气,大风,中
青年,女,冬装,中风,24.5,1.72,56.1,1.8,-5.92,100,1.044522709,24.5,暖气,大风,中
童年,男,冬装,大风,15.8,1.41,60.9,2,-5.08,100,1.254868924,24.5,暖气,大风,中
中年,男,冬装,大风,30.6,1.82,60.3,11.2,-4.04,100,1.154915505,22.5,暖气,大风,中
童年,女,夏装,中风,21.9,1.62,52.8,25.6,-1.22,36.2,1.133426659,无,无,无,无
老年,女,夏装,低风,15.9,1.65,49.3,24.8,-1.79,66.3,0.934105318,21.5,暖气,低风,下
少年,男,冬装,大风,16.7,1.74,65.8,10.9,-3.85,100,1.214500889,22.5,暖气,大风,中
童年,男,春秋装,无风,30.2,1.46,44.6,15.4,-1.93,73.6,1.310352584,23.5,暖气,低风,下
青年,男,春秋装,无风,27.6,1.6,56,19.3,-1.36,43.2,1.202141499,无,无,无,无
少年,男,春秋装,无风,34.2,1.7,49.3,20.3,-0.96,24.5,1.296911745,无,无,无,无
青年,女,春秋装,低风,22.5,1.66,70.6,15.1,-3.52,100,1.055690753,25,暖气,大风,中
少年,女,春秋装,低风,31.8,1.58,82.4,16.9,-2.63,95.7,1.114660029,24.5,暖气,中风,上
童年,女,夏装,大风,27.2,1.57,23.1,44.2,9.99,100,1.139347814,18.5,冷气,大风,中
童年,男,冬装,大风,25.1,1.44,74.2,9.4,-3.15,99.6,1.293692747,23.5,暖气,大风,中
童年,男,春秋装,中风,16.1,1.41,63.7,21.1,-1.83,68.7,1.256416613,21.5,暖气,低风,下
少年,女,春秋装,低风,20.5,1.75,50.8,21.1,-1.83,68.5,1.085575278,26,暖气,低风,下
老年,男,春秋装,无风,32.5,1.68,66.1,21.8,-0.75,16.7,1.100348185,无,无,无,无
童年,女,春秋装,低风,32.5,1.57,62.5,17.6,-2.43,91.9,1.132320367,24.5,暖气,低风,下
青年,男,春秋装,低风,21.2,1.75,53.2,21.8,-1.32,41.5,1.173380036,无,无,无,无
少年,女,冬装,低风,25.8,1.72,71.4,4.8,-4.23,100,1.088468293,25,暖气,大风,中
童年,女,夏装,无风,29.6,1.59,36.5,41,5.71,100,1.130799417,18.5,冷气,大风,中
少年,女,冬装,大风,15.3,1.51,72.4,5.3,-4.7,100,1.158920467,23.5,暖气,大风,中
少年,男,夏装,低风,17.4,1.73,45,25.5,-0.55,11.3,1.219069261,无,无,无,无
老年,女,春秋装,中风,26.3,1.55,38.7,20.2,-3.57,100,0.967014037,21.5,暖气,大风,中
少年,男,夏装,大风,28.5,1.75,47,28.6,0.22,6,1.276040558,无,无,无,无
童年,男,夏装,低风,21.5,1.43,57,23.4,-1.14,32.5,1.279985015,无,无,无,无
少年,男,冬装,无风,17.9,1.73,59.7,3.9,-3.2,99.7,1.22220436,23.5,暖气,大风,中
少年,男,春秋装,低风,16,1.67,64.6,17.1,-2.33,89.1,1.210583742,24.5,暖气,低风,下
少年,男,冬装,无风,28.1,1.81,73.1,7.5,-2.37,90.3,1.275057855,22,暖气,低风,下
青年,男,夏装,中风,27.7,1.85,41,37.6,5.01,100,1.218826721,19.5,冷气,大风,中
青年,男,冬装,大风,15.9,1.68,54.1,1.5,-5.88,100,1.128991794,24.5,暖气,大风,中
少年,男,春秋装,大风,30.3,1.62,67.7,15.8,-3.51,100,1.282334889,21.5,暖气,大风,中
少年,女,春秋装,大风,20.7,1.69,80.5,19.9,-3.17,99.6,1.099053963,21.5,暖气,大风,中
青年,男,夏装,大风,33.7,1.76,29.7,36.6,4.44,100,1.242053817,19.5,冷气,大风,中
青年,男,冬装,无风,32.3,1.62,58.7,6.5,-2.7,96.7,1.22664073,22.5,暖气,中风,上
少年,男,冬装,大风,18.2,1.83,61.4,11.2,-3.74,100,1.224035782,22.5,暖气,大风,中
童年,男,夏装,大风,16.8,1.62,50.3,29,0.39,8.2,1.246385112,无,无,无,无
童年,男,夏装,无风,34.8,1.54,19.9,48.5,7.95,100,1.321550392,24,冷气,大风,中
童年,女,春秋装,中风,31.5,1.51,62.5,20.9,-2.25,86.5,1.149894527,21.5,暖气,低风,下
少年,女,夏装,低风,18.9,1.54,41.3,38.5,5.21,100,1.142199576,19.5,冷气,大风,中
青年,男,冬装,无风,25.5,1.78,77.8,6.6,-2.7,96.8,1.202223162,22,暖气,中风,上
童年,女,冬装,无风,32.6,1.45,79.5,12.3,-2.08,80.3,1.166188517,22.5,暖气,低风,下
青年,男,春秋装,中风,16.3,1.76,72.1,16,-3.61,100,1.136999546,21.5,暖气,大风,中
青年,男,冬装,大风,18,1.61,63.3,9.4,-3.74,100,1.141638095,23.5,暖气,大风,中
青年,男,夏装,大风,16.9,1.64,22.7,45,10.58,100,1.13485149,18.5,冷气,大风,中
青年,男,冬装,大风,22.4,1.62,61.3,3,-5.24,100,1.173066113,24.5,暖气,大风,中
童年,男,春秋装,低风,26.2,1.55,78.2,15.2,-2.58,95,1.292739302,24,暖气,中风,上
老年,男,春秋装,大风,26,1.82,71.9,19.2,-3.63,100,1.078498777,21.5,暖气,大风,中
少年,女,夏装,无风,21.3,1.73,31.5,43.2,6.7,100,1.089402741,18.5,冷气,大风,中
少年,女,春秋装,中风,17.2,1.66,75.6,19.8,-2.76,97.5,1.110251448,21.5,暖气,中风,上
少年,男,春秋装,低风,16.5,1.61,74,15.5,-2.76,97.4,1.214803385,24.5,暖气,中风,上
少年,男,冬装,大风,26.4,1.81,56.8,10.8,-3.69,100,1.267609038,22.5,暖气,大风,中
童年,男,春秋装,无风,15.9,1.4,60.7,19.5,-1.18,34.4,1.256317372,无,无,无,无
童年,女,冬装,低风,21.6,1.51,69.6,12.5,-2.72,96.9,1.167105598,24,暖气,中风,上
老年,男,春秋装,低风,24.5,1.83,54.4,20.8,-1.97,75.5,1.067802499,26,暖气,低风,下
童年,女,夏装,低风,15.1,1.54,14.9,47.4,9.27,100,1.171434686,18.5,冷气,大风,中
中年,女,冬装,中风,31.2,1.61,70.1,3.8,-5.62,100,1.001532947,24.5,暖气,大风,中
少年,女,夏装,无风,16.1,1.6,25.8,37,3.85,100,1.128605713,19.5,冷气,大风,中
青年,男,春秋装,低风,23.6,1.81,74.2,16.9,-2.4,91.2,1.192722561,24.5,暖气,低风,下
老年,女,冬装,低风,34.7,1.74,54.7,7.3,-4.44,100,0.960801885,25.5,暖气,大风,中
中年,女,冬装,大风,25.4,1.52,52,7.3,-4.99,100,1.010855961,23.5,暖气,大风,中
少年,男,冬装,低风,15.5,1.66,44.3,12.3,-2.72,96.9,1.20740277,24.5,暖气,中风,上
青年,女,夏装,无风,25.2,1.72,36.9,38,4.58,100,1.044624773,19.5,冷气,大风,中
老年,女,冬装,无风,31.9,1.7,60.7,4.6,-4.24,100,0.959776835,25,暖气,大风,中
少年,男,冬装,大风,34.6,1.7,62.7,5.3,-4.12,100,1.298264048,23.5,暖气,大风,中
童年,女,春秋装,无风,19.5,1.48,53.5,20.2,-1.15,33,1.182038396,无,无,无,无
中年,男,冬装,中风,16.5,1.73,64.6,0.9,-6.25,100,1.027865337,24.5,暖气,大风,中
中年,男,夏装,无风,16.3,1.72,39.9,38.4,4.85,100,1.02419229,19.5,冷气,大风,中
青年,女,冬装,中风,20.4,1.64,50.2,6.2,-4.68,100,1.060066386,23.5,暖气,大风,中
老年,女,冬装,中风,25.3,1.74,62,7.2,-5.26,100,0.945058632,23.5,暖气,大风,中
老年,男,冬装,中风,29.3,1.7,65.8,14.5,-3.01,99.2,1.081862348,22.5,暖气,大风,中
老年,男,冬装,大风,18.6,1.72,70.8,8.7,-4.68,100,0.989899941,23.5,暖气,大风,中
中年,男,春秋装,无风,32.3,1.65,71.5,19.3,-1.39,44.9,1.141218986,无,无,无,无
童年,男,夏装,无风,19.6,1.47,30.5,41.5,5.53,100,1.26887399,24,冷气,大风,中
少年,女,春秋装,无风,25.6,1.6,54.5,18.5,-1.76,64.8,1.116124473,24.5,暖气,低风,下
青年,男,夏装,低风,23.5,1.72,18.5,50,10.63,100,1.186437094,21.5,冷气,大风,中
老年,男,春秋装,低风,17.7,1.68,55.7,20.5,-2.52,93.8,0.971466592,21.5,暖气,中风,上
老年,女,春秋装,大风,34.1,1.68,60,19.2,-4.44,100,0.964557182,21.5,暖气,大风,中
中年,男,春秋装,低风,27.5,1.78,52.7,20.8,-1.79,66.5,1.129408056,26,暖气,低风,下
青年,女,春秋装,低风,33.4,1.66,69.1,16.3,-3.12,99.5,1.055159292,25,暖气,大风,中
少年,女,夏装,低风,24.4,1.68,47.1,29.6,0.97,25,1.098159135,21.5,通风,低风,下
老年,男,夏装,中风,20,1.63,42.2,31.6,1.12,31.5,0.985650313,20.5,通风,低风,下
童年,男,夏装,大风,31.2,1.59,15.5,47.9,11.29,100,1.309258219,18.5,冷气,大风,中
中年,女,冬装,大风,20.3,1.6,60.6,6.5,-5.34,100,0.992572272,23.5,暖气,大风,中
老年,女,夏装,低风,26.7,1.66,26,42.5,7.91,100,0.955171071,18.5,冷气,大风,中
少年,男,冬装,无风,20.8,1.65,61.5,1.8,-3.53,100,1.23938071,23.5,暖气,大风,中
青年,男,夏装,大风,27.3,1.84,46.4,34,2.92,98.7,1.216055125,20.5,冷气,中风,上
中年,男,春秋装,中风,21.4,1.68,83.8,19.3,-3.11,99.5,1.067334084,21.5,暖气,大风,中
老年,女,春秋装,大风,15.2,1.67,69.8,19.6,-4.53,100,0.929592303,21.5,暖气,大风,中
青年,女,冬装,大风,31.2,1.61,58.1,14.9,-3.3,99.8,1.064286529,22.5,暖气,大风,中
中年,女,春秋装,大风,24.1,1.75,67.4,15.9,-5.09,100,0.976359627,21.5,暖气,大风,中
中年,男,夏装,大风,21.3,1.65,36.7,36.8,4.98,100,1.061657033,19.5,冷气,大风,中
童年,男,夏装,大风,31.6,1.48,51.4,27.5,-0.21,5.9,1.313924243,无,无,无,无
青年,男,夏装,无风,25.2,1.8,18.5,47.6,7.94,100,1.201739954,18.5,冷气,大风,中
童年,男,夏装,大风,17.8,1.58,40.2,34.5,3.18,99.7,1.253721015,20.5,冷气,大风,中
青年,男,春秋装,无风,24.8,1.73,79.9,15.5,-2.01,77.4,1.194952402,23,暖气,低风,下
童年,男,夏装,低风,16.3,1.55,28,36.4,3.79,100,1.247186178,19.5,冷气,大风,中
少年,女,春秋装,低风,33.7,1.74,54.9,20.9,-1.89,71.7,1.080408497,26,暖气,低风,下
少年,女,春秋装,无风,30.4,1.59,66.8,15,-2.39,90.9,1.113626558,23.5,暖气,低风,下
青年,女,夏装,中风,22.9,1.69,35.4,40.1,7.04,100,1.049833354,18.5,冷气,大风,中
中年,女,冬装,中风,22.4,1.51,66.6,10,-4.74,100,1.010511562,22.5,暖气,大风,中
老年,男,春秋装,低风,16.2,1.81,72.9,15.8,-3.69,100,0.979947641,25.5,暖气,大风,中
童年,男,春秋装,无风,33.9,1.46,66.2,19.3,-1.1,30.7,1.321561823,无,无,无,无
中年,女,冬装,中风,30.7,1.54,66.1,3.5,-5.66,100,1.011140976,24.5,暖气,大风,中
童年,男,冬装,无风,15.2,1.64,66.9,13.5,-1.71,62.4,1.23609676,22.5,暖气,低风,下
少年,女,春秋装,低风,33.3,1.55,54.3,20.4,-1.95,74.3,1.120438817,26,暖气,低风,下
青年,女,夏装,低风,26.9,1.52,42.1,29.9,1.04,27.9,1.08485107,21.5,通风,低风,下
童年,男,冬装,低风,21.4,1.61,68.2,9.4,-2.55,94.4,1.270360053,23,暖气,中风,上
中年,男,夏装,中风,29.2,1.7,50.9,32.2,1.81,67.5,1.129361695,20.5,通风,低风,下
少年,女,春秋装,中风,24.9,1.55,83.2,16.1,-3.55,100,1.130216104,21.5,暖气,大风,中
童年,男,夏装,低风,16.1,1.47,50.1,27.7,0.39,8.2,1.251431308,无,无,无,无
中年,女,冬装,低风,26.2,1.68,65,2,-5.52,100,0.987619195,26,暖气,大风,中
童年,女,冬装,低风,16.8,1.64,57.5,4.4,-4.13,100,1.135993903,25,暖气,大风,中
中年,男,冬装,中风,32.9,1.82,59.4,10.5,-3.83,100,1.168481816,22.5,暖气,大风,中
少年,女,冬装,无风,20.2,1.68,58.5,7.3,-2.88,98.5,1.10192831,23,暖气,中风,上
中年,女,冬装,无风,24.1,1.69,86.1,11.3,-2.9,98.6,0.983805924,23,暖气,中风,上
老年,男,春秋装,中风,17.2,1.82,58.6,21,-2.86,98.3,0.993608821,21.5,暖气,中风,上
少年,男,夏装,大风,29.1,1.84,41,43.3,8.97,100,1.279665348,18.5,冷气,大风,中
少年,女,冬装,无风,18.9,1.7,60,2.6,-3.83,100,1.098314822,24,暖气,大风,中
童年,男,夏装,大风,28.1,1.54,50.1,24.6,-1.62,57.7,1.300093002,21.5,暖气,低风,下
童年,女,冬装,无风,17,1.53,60.3,0.4,-4.01,100,1.170382954,23.5,暖气,大风,中
童年,男,冬装,中风,32.8,1.51,68.3,3.9,-4.05,100,1.316521762,24.5,暖气,大风,中
青年,女,夏装,无风,26.1,1.56,31.8,36.2,3.67,100,1.07601951,19.5,冷气,大风,中
少年,男,夏装,中风,16.6,1.64,37.5,39.9,6.36,100,1.214915691,19.5,冷气,大风,中
老年,女,春秋装,低风,27.2,1.55,76.1,15.6,-3.85,100,0.968283824,25.5,暖气,大风,中
中年,女,春秋装,中风,23.6,1.63,60.4,17.9,-3.65,100,0.991561386,21.5,暖气,大风,中
老年,男,春秋装,中风,27.9,1.82,74.6,17.7,-3.15,99.6,1.093312317,21.5,暖气,大风,中
青年,女,冬装,低风,20,1.65,58.1,7.2,-3.83,100,1.057967474,24.5,暖气,大风,中
老年,女,春秋装,低风,15.7,1.54,62.9,21.8,-2.09,80.6,0.95020552,21.5,暖气,低风,下
中年,女,冬装,低风,17.3,1.54,69.1,14.6,-2.74,97.2,1.000253119,24.5,暖气,中风,上
老年,女,夏装,无风,24.9,1.65,39.6,38.4,4.96,100,0.953097809,19.5,冷气,大风,中
老年,男,夏装,中风,24.9,1.79,48,31.6,1.32,41.3,1.064070878,20.5,通风,低风,下
童年,女,冬装,无风,18,1.61,45.7,0.1,-4.18,100,1.142712722,24,暖气,大风,中
少年,女,夏装,中风,23,1.58,65.5,26.4,-0.74,16.7,1.124466688,无,无,无,无
少年,女,夏装,大风,32.1,1.69,24.8,45.7,11.48,100,1.09057515,18.5,冷气,大风,中
童年,男,春秋装,中风,27.5,1.6,62,16.8,-2.76,97.5,1.296079391,21.5,暖气,中风,上
童年,女,冬装,低风,26.5,1.59,65.8,11.3,-3.15,99.6,1.134910108,24,暖气,大风,中
童年,女,冬装,中风,25.3,1.57,71.9,0.4,-5.66,100,1.142178419,24.5,暖气,大风,中
老年,男,春秋装,无风,25,1.82,70.3,17.7,-1.73,63.1,1.070274718,23.5,暖气,低风,下
童年,女,冬装,中风,20.2,1.62,46.7,14.1,-3,99.1,1.136067863,22.5,暖气,中风,上
中年,女,冬装,大风,21,1.6,73,14.1,-3.85,100,0.993360122,22.5,暖气,大风,中
少年,男,夏装,中风,25.5,1.8,31.2,43.1,8.01,100,1.263367141,18.5,冷气,大风,中
童年,女,冬装,大风,29.9,1.6,71.2,1.5,-5.86,100,1.127890141,24.5,暖气,大风,中
中年,男,夏装,低风,24,1.66,31.8,42.6,7.47,100,1.085774191,18.5,冷气,大风,中
童年,女,春秋装,低风,27.6,1.6,78.5,15.2,-3.14,99.6,1.130783522,24.5,暖气,大风,中
青年,男,冬装,低风,22.5,1.81,61.2,0.8,-4.69,100,1.185737891,25,暖气,大风,中
青年,女,春秋装,无风,32.6,1.53,52.3,20.7,-1.19,35,1.079936737,无,无,无,无
童年,女,夏装,大风,32.7,1.5,52.2,25.4,-1.67,59.9,1.151000948,21.5,暖气,低风,下
中年,男,春秋装,中风,26.6,1.71,57.9,17.5,-3.23,99.7,1.113043567,21.5,暖气,大风,中
青年,男,春秋装,中风,31.1,1.7,67.8,18.1,-2.54,94.3,1.226361472,21.5,暖气,中风,上
老年,女,夏装,大风,17.6,1.58,51.6,34.9,3.75,100,0.947893635,20.5,冷气,大风,中
老年,男,冬装,低风,15.8,1.61,74.2,10.8,-4.44,100,0.933092763,25.5,暖气,大风,中
少年,男,冬装,无风,33.9,1.83,66.8,12.7,-1.76,64.9,1.297728392,22,暖气,低风,下
童年,女,夏装,无风,17.6,1.55,34.1,36.9,3.9,100,1.162316017,19.5,冷气,大风,中
童年,男,春秋装,无风,15.7,1.57,48.6,15.1,-2.13,82.3,1.24264762,23.5,暖气,低风,下
青年,女,冬装,大风,17.2,1.59,73.8,2.2,-6,100,1.072518655,24.5,暖气,大风,中
老年,男,春秋装,低风,17.7,1.82,68.2,17.6,-2.9,98.6,0.99931015,25.5,暖气,中风,上
青年,男,春秋装,无风,18.9,1.63,55,20.3,-1.17,33.9,1.149619589,无,无,无,无
老年,男,春秋装,低风,16.8,1.74,63.4,21.1,-2.21,85.2,0.973483239,21.5,暖气,低风,下
童年,男,冬装,无风,19.2,1.5,81.4,1.2,-3.53,100,1.265111703,22.5,暖气,大风,中
老年,男,夏装,无风,15.7,1.74,44.3,37.4,4.55,100,0.960171507,19.5,冷气,大风,中
童年,女,夏装,低风,26.5,1.64,26.9,40.4,6.04,100,1.122022718,18.5,冷气,大风,中
青年,女,冬装,低风,22.8,1.74,70.6,9.4,-3.33,99.9,1.040701776,24,暖气,大风,中
少年,女,春秋装,大风,17.6,1.67,55.7,21,-2.8,97.8,1.107164077,21.5,暖气,中风,上
少年,女,冬装,无风,26.4,1.6,63,13.1,-2.07,79.9,1.11525788,23,暖气,低风,下
中年,男,冬装,大风,16.4,1.61,57,8.1,-4.76,100,1.007380085,23.5,暖气,大风,中
中年,男,春秋装,无风,21.9,1.81,73.5,17.7,-1.67,60,1.090877858,23.5,暖气,低风,下
中年,男,春秋装,大风,32.7,1.66,74.4,15.3,-4.28,100,1.145098191,21.5,暖气,大风,中
青年,女,夏装,中风,33.2,1.69,21.8,47.4,11.87,100,1.050273069,18.5,冷气,大风,中
少年,男,春秋装,无风,24.3,1.84,61,21.6,-0.61,12.7,1.258058447,无,无,无,无
老年,女,夏装,无风,33.7,1.68,54,22.7,-1.43,46.9,0.964009989,无,无,无,无
少年,女,春秋装,低风,15.3,1.58,45.6,18.8,-2.5,93.4,1.135995042,26,暖气,低风,下
老年,男,春秋装,低风,28.3,1.74,64.9,19,-2.52,93.8,1.082008285,26,暖气,中风,上
青年,女,夏装,中风,20.7,1.56,41.9,36.7,4.71,100,1.078371188,19.5,冷气,大风,中
